Instance,PopulationSize,CrossoverRate,MutationRate,AvgFitness,AvgTruckCost,AvgEnergyCost,AvgTime
30,30,0.9,0.08,3165.5,5081.0,1307.5,27.975266098976135
30,30,0.9,0.1,3164.5,5081.0,1294.7,28.042509508132934
30,40,0.4,0.01,3165.65,5081.0,1261.0,33.69634048938751
30,40,0.4,0.05,3165.55,5081.0,1305.4,36.93115468025208
30,40,0.4,0.08,3165.55,5081.0,1289.0,37.172423696517946
30,40,0.4,0.1,3165.55,5081.0,1335.3,37.248049807548526
30,40,0.6,0.01,3163.75,5148.5,1277.0,34.34279081821442
30,40,0.6,0.05,3165.5,5081.0,1294.0,37.056051683425906
30,40,0.6,0.08,3165.5,5081.0,1310.5,37.15546064376831
30,40,0.6,0.1,3165.65,5081.0,1281.5,37.28187093734741
30,40,0.8,0.01,3165.7,5081.0,1264.3,34.431791400909425
30,40,0.8,0.05,3165.55,5081.0,1271.0,37.12363440990448
30,40,0.8,0.08,3165.5,5081.0,1319.4,37.24737949371338
30,40,0.8,0.1,3165.65,5081.0,1360.8,37.215400314331056
30,40,0.9,0.01,3165.65,5081.0,1262.5,34.75931606292725
30,40,0.9,0.05,3165.5,5081.0,1280.2,37.007406091690065
30,40,0.9,0.08,3165.5,5081.0,1314.5,37.18354611396789
30,40,0.9,0.1,3165.5,5081.0,1354.0,37.283084297180174
30,50,0.4,0.01,3165.6,5081.0,1262.8,41.89032764434815
30,50,0.4,0.05,3165.55,5081.0,1272.3,45.99806244373322
30,50,0.4,0.08,3165.55,5081.0,1312.2,46.26572766304016
30,50,0.4,0.1,3165.55,5081.0,1334.9,46.375661206245425
30,50,0.6,0.01,3165.65,5081.0,1252.9,42.568233609199524
30,50,0.6,0.05,3165.5,5081.0,1279.4,46.09892075061798
30,50,0.6,0.08,3165.5,5081.0,1281.0,46.35744407176971
30,50,0.6,0.1,3165.55,5081.0,1301.3,46.34700269699097
30,50,0.8,0.01,3164.85,5081.0,1257.9,43.29222960472107
30,50,0.8,0.05,3165.5,5081.0,1265.5,46.183907055854796
30,50,0.8,0.08,3165.5,5081.0,1287.2,46.34965279102325
30,50,0.8,0.1,3165.55,5081.0,1335.2,46.421271085739136
30,50,0.9,0.01,3165.7,5081.0,1263.6,43.4176023721695
30,50,0.9,0.05,3165.5,5081.0,1282.0,46.21434473991394
30,50,0.9,0.08,3165.5,5081.0,1307.0,46.47586166858673
30,50,0.9,0.1,3165.65,5081.0,1328.1,46.358285546302795
30,60,0.4,0.01,3165.5,5081.0,1252.3,50.319722032547
30,60,0.4,0.05,3165.5,5081.0,1292.4,55.051903104782106
30,60,0.4,0.08,3165.5,5081.0,1299.4,55.4467205286026
30,60,0.4,0.1,3165.55,5081.0,1295.2,55.512465071678164
30,60,0.6,0.01,3165.6,5081.0,1256.8,51.199110054969786
30,60,0.6,0.05,3164.0,5081.0,1291.0,55.2287832736969
30,60,0.6,0.08,3165.5,5081.0,1287.6,55.438631653785706
30,60,0.6,0.1,3165.5,5081.0,1320.0,55.58460819721222
30,60,0.8,0.01,3165.6,5081.0,1253.7,51.573501873016355
30,60,0.8,0.05,3165.5,5081.0,1279.5,55.420999908447264
30,60,0.8,0.08,3165.5,5081.0,1283.9,55.49190967082977
30,60,0.8,0.1,3162.85,5081.0,1306.0,55.638785815238954
